Path costs: 114
1 -[1]- 2
2 -[1]- 12
12 -[1]- 22
22 -[1]- 32
32 -[1]- 42
42 -[1]- 52
52 -[1]- 62
62 -[1]- 72
72 -[1]- 82
82 -[1]- 92
92 -[1]- 102
102 -[1]- 112
112 -[1]- 122
122 -[1]- 132
132 -[1]- 142
142 -[1]- 152
152 -[1]- 162
162 -[1]- 172
172 -[1]- 182
182 -[1]- 192
192 -[1]- 202
202 -[1]- 212
212 -[1]- 222
222 -[1]- 232
232 -[1]- 242
242 -[1]- 252
252 -[1]- 262
262 -[1]- 272
272 -[1]- 282
282 -[1]- 292
292 -[1]- 302
302 -[1]- 312
312 -[1]- 322
322 -[1]- 332
332 -[1]- 342
342 -[1]- 352
352 -[1]- 362
362 -[1]- 372
372 -[1]- 382
382 -[1]- 392
392 -[1]- 402
402 -[1]- 412
412 -[1]- 422
422 -[1]- 432
432 -[1]- 442
442 -[1]- 452
452 -[1]- 462
462 -[1]- 472
472 -[1]- 482
482 -[1]- 492
492 -[1]- 502
502 -[1]- 512
512 -[1]- 522
522 -[1]- 532
532 -[1]- 542
542 -[1]- 552
552 -[1]- 562
562 -[1]- 572
572 -[1]- 582
582 -[1]- 592
592 -[1]- 602
602 -[1]- 612
612 -[1]- 622
622 -[1]- 632
632 -[1]- 642
642 -[1]- 652
652 -[1]- 662
662 -[1]- 672
672 -[1]- 682
682 -[1]- 692
692 -[1]- 702
702 -[1]- 712
712 -[1]- 722
722 -[1]- 732
732 -[1]- 742
742 -[1]- 752
752 -[1]- 762
762 -[1]- 772
772 -[1]- 782
782 -[1]- 792
792 -[1]- 802
802 -[1]- 812
812 -[1]- 822
822 -[1]- 832
832 -[1]- 842
842 -[1]- 852
852 -[1]- 862
862 -[1]- 872
872 -[1]- 882
882 -[1]- 892
892 -[1]- 902
902 -[1]- 912
912 -[1]- 922
922 -[1]- 932
932 -[1]- 942
942 -[1]- 952
952 -[1]- 962
962 -[1]- 972
972 -[1]- 982
982 -[1]- 992
992 -[2]- 993
993 -[3]- 994
994 -[4]- 995
995 -[5]- 996
